"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","52309","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-07-24 00:00:00",0,0.002,27.66,0,0,0,0,0,0,0,54.74,0,54.74,226
"2021-07-24 00:01:00",0,-0.007,27.66,0,0,0,0,0,0,0,54.34,0,54.34,224.3
"2021-07-24 00:02:00",0,0.005,27.66,0,0,0,0,0,0,0,54.21,0,54.21,223.2
"2021-07-24 00:03:00",0,0.005,27.66,0,0,0,0,0,0,0,54.34,0,54.34,223.2
"2021-07-24 00:04:00",0,0.002,27.66,0,0,0,0,0,0,0,54.38,0,54.38,223.4
"2021-07-24 00:05:00",0,-0.001,27.66,0,0,0,0,0,0,0,53.94,0,53.94,223.5
"2021-07-24 00:06:00",0,0.009,27.66,0,0,0,0,0,0,0,54.36,0,54.36,224.7
"2021-07-24 00:07:00",0,0.001,27.66,0,0,0,0,0,0,0,54.3,0,54.3,225.5
"2021-07-24 00:08:00",0,0.002,27.66,0,0,0,0,0,0,0,54.27,0,54.27,224.9
"2021-07-24 00:09:00",0,0.007,27.66,0,0,0,0,0,0,0,54.25,0,54.25,225.5
"2021-07-24 00:10:00",0,0.003,27.66,0,0,0,0,0,0,0,54.3,0,54.3,226.1
"2021-07-24 00:11:00",0,0.002,27.66,0,0,0,0,0,0,0,54.2,0,54.2,225.9
"2021-07-24 00:12:00",0,0.008,27.66,0,0,0,0,0,0,0,54.24,0,54.24,226.3
"2021-07-24 00:13:00",0,0.001,27.66,0,0,0,0,0,0,0,54.4,0,54.4,226.6
"2021-07-24 00:14:00",0,0.003,27.66,0,0,0,0,0,0,0,107.3,0,107.3,226.7
"2021-07-24 00:15:00",0,0.005,27.66,0,0,0,0,0,0,0,176.1,0,176.1,226.7
"2021-07-24 00:16:00",0,0.01,27.66,0,0,0,0,0,0,0,169.3,0,169.3,227.4
"2021-07-24 00:17:00",0,0.006,27.66,0,0,0,0,0,0,0,166,0,166,226.3
